startTime,Model,OSVersion,Protocol,Role,PayloadSize,NumberOfContacts,NumberOfIDs,NumberOfContactsPeer,NumberOfIDsPeer,StartVerifying,Verified,StartCalculatingV,CalculatedV,StartIntersecting,Intersected,StartCalculatingZ,CalculatedZ,StartCalculatingPOK,CalculatedPOK,PSICompleted,ReceivedStartPSIRequest,SentStartPSIResponse,ReceivedFinishPSIRequest,SentFinishPSIResponse,ReceivedDiscoverRequest,SentDiscoverResponse,UploadFinished,precomputationDuration
2020-10-09T23:48:58.382Z,"iPhone12,3",14.0.0,original,receiver,10489144.0,10000,1,,,,,,,,,,,,,,,,,,2020-10-09T23:49:08.738Z,2020-10-09T23:49:08.742Z,2020-10-09T23:49:09.847Z,8.69023609161377
2020-10-09T23:49:18.851Z,"iPhone12,3",14.0.0,original,receiver,10489138.0,10000,10,,,,,,,,,,,,,,,,,,2020-10-09T23:49:29.173Z,2020-10-09T23:49:29.178Z,2020-10-09T23:49:30.262Z,8.71807599067688
2020-10-09T23:49:39.269Z,"iPhone12,3",14.0.0,original,receiver,10489143.0,10000,20,,,,,,,,,,,,,,,,,,2020-10-09T23:49:49.606Z,2020-10-09T23:49:49.611Z,2020-10-09T23:49:50.704Z,8.746803998947144
2020-10-09T23:50:04.223Z,"iPhone12,3",14.0.0,original,receiver,10489145.0,15000,1,,,,,,,,,,,,,,,,,,2020-10-09T23:50:17.917Z,2020-10-09T23:50:17.923Z,2020-10-09T23:50:19.001Z,13.196565985679626
2020-10-09T23:50:32.498Z,"iPhone12,3",14.0.0,original,receiver,10489142.0,15000,10,,,,,,,,,,,,,,,,,,2020-10-09T23:50:45.192Z,2020-10-09T23:50:45.198Z,2020-10-09T23:50:46.251Z,13.17499589920044
2020-10-09T23:50:59.668Z,"iPhone12,3",14.0.0,original,receiver,10489141.0,15000,20,,,,,,,,,,,,,,,,,,2020-10-09T23:51:12.576Z,2020-10-09T23:51:12.580Z,2020-10-09T23:51:13.636Z,13.087047100067139
2020-10-09T23:51:13.813Z,"iPhone12,3",14.0.0,original,receiver,10489138.0,100,1,,,,,,,,,,,,,,,,,,2020-10-09T23:51:19.397Z,2020-10-09T23:51:19.402Z,2020-10-09T23:51:20.531Z,0.08781194686889648
2020-10-09T23:51:20.718Z,"iPhone12,3",14.0.0,original,receiver,10489142.0,100,10,,,,,,,,,,,,,,,,,,2020-10-09T23:51:26.616Z,2020-10-09T23:51:26.621Z,2020-10-09T23:51:27.774Z,0.08708703517913818
2020-10-09T23:51:28.047Z,"iPhone12,3",14.0.0,original,receiver,10489138.0,100,20,,,,,,,,,,,,,,,,,,2020-10-09T23:51:33.624Z,2020-10-09T23:51:33.629Z,2020-10-09T23:51:34.746Z,0.08738589286804199
2020-10-09T23:51:35.740Z,"iPhone12,3",14.0.0,original,receiver,10489141.0,1000,1,,,,,,,,,,,,,,,,,,2020-10-09T23:51:41.818Z,2020-10-09T23:51:41.823Z,2020-10-09T23:51:42.989Z,0.8682379722595215
