startTime,Model,OSVersion,Protocol,Role,PayloadSize,NumberOfContacts,NumberOfIDs,NumberOfContactsPeer,NumberOfIDsPeer,StartVerifying,Verified,StartCalculatingV,CalculatedV,StartIntersecting,Intersected,StartCalculatingZ,CalculatedZ,StartCalculatingPOK,CalculatedPOK,PSICompleted,ReceivedStartPSIRequest,SentStartPSIResponse,ReceivedFinishPSIRequest,SentFinishPSIResponse,ReceivedDiscoverRequest,SentDiscoverResponse,UploadFinished,precomputationDuration
2020-10-11T20:50:51.109Z,"iPhone12,3",14.0.0,original,receiver,10489142.0,15000,10,,,,,,,,,,,,,,,,,,2020-10-11T20:51:03.305Z,2020-10-11T20:51:03.309Z,2020-10-11T20:51:04.224Z,13.144104957580566
2020-10-11T20:51:17.590Z,"iPhone12,3",14.0.0,original,receiver,10489140.0,15000,20,,,,,,,,,,,,,,,,,,2020-10-11T20:51:29.920Z,2020-10-11T20:51:29.926Z,2020-10-11T20:51:30.838Z,13.108138918876648
2020-10-11T20:51:30.959Z,"iPhone12,3",14.0.0,original,receiver,10489143.0,100,1,,,,,,,,,,,,,,,,,,2020-10-11T20:51:36.535Z,2020-10-11T20:51:36.539Z,2020-10-11T20:51:37.527Z,0.0869910717010498
2020-10-11T20:51:37.708Z,"iPhone12,3",14.0.0,original,receiver,10489139.0,100,10,,,,,,,,,,,,,,,,,,2020-10-11T20:51:43.258Z,2020-10-11T20:51:43.261Z,2020-10-11T20:51:44.321Z,0.08713698387145996
2020-10-11T20:51:44.522Z,"iPhone12,3",14.0.0,original,receiver,10489140.0,100,20,,,,,,,,,,,,,,,,,,2020-10-11T20:51:50.007Z,2020-10-11T20:51:50.010Z,2020-10-11T20:51:51.032Z,0.08717107772827148
2020-10-11T20:51:52.002Z,"iPhone12,3",14.0.0,original,receiver,10489140.0,1000,1,,,,,,,,,,,,,,,,,,2020-10-11T20:51:58.004Z,2020-10-11T20:51:58.008Z,2020-10-11T20:51:58.877Z,0.8675251007080078
2020-10-11T20:51:59.796Z,"iPhone12,3",14.0.0,original,receiver,10489144.0,1000,10,,,,,,,,,,,,,,,,,,2020-10-11T20:52:05.748Z,2020-10-11T20:52:05.752Z,2020-10-11T20:52:06.635Z,0.874364972114563
2020-10-11T20:52:07.569Z,"iPhone12,3",14.0.0,original,receiver,10489143.0,1000,20,,,,,,,,,,,,,,,,,,2020-10-11T20:52:13.604Z,2020-10-11T20:52:13.607Z,2020-10-11T20:52:14.476Z,0.8673349618911743
2020-10-11T20:52:18.976Z,"iPhone12,3",14.0.0,original,receiver,10489144.0,5000,1,,,,,,,,,,,,,,,,,,2020-10-11T20:52:26.960Z,2020-10-11T20:52:26.964Z,2020-10-11T20:52:27.839Z,4.33127498626709
2020-10-11T20:52:32.327Z,"iPhone12,3",14.0.0,original,receiver,10489144.0,5000,10,,,,,,,,,,,,,,,,,,2020-10-11T20:52:40.217Z,2020-10-11T20:52:40.221Z,2020-10-11T20:52:41.102Z,4.326454997062683
2020-10-11T20:52:45.546Z,"iPhone12,3",14.0.0,original,receiver,10489141.0,5000,20,,,,,,,,,,,,,,,,,,2020-10-11T20:52:53.466Z,2020-10-11T20:52:53.468Z,2020-10-11T20:52:54.347Z,4.33159601688385
2020-10-11T20:53:03.252Z,"iPhone12,3",14.0.0,original,receiver,10489139.0,10000,1,,,,,,,,,,,,,,,,,,2020-10-11T20:53:13.526Z,2020-10-11T20:53:13.530Z,2020-10-11T20:53:14.452Z,8.737743973731995
2020-10-11T20:53:23.401Z,"iPhone12,3",14.0.0,original,receiver,10489142.0,10000,10,,,,,,,,,,,,,,,,,,2020-10-11T20:53:33.245Z,2020-10-11T20:53:33.249Z,2020-10-11T20:53:34.209Z,8.761397004127502
2020-10-11T20:53:43.174Z,"iPhone12,3",14.0.0,original,receiver,10489146.0,10000,20,,,,,,,,,,,,,,,,,,2020-10-11T20:53:53.229Z,2020-10-11T20:53:53.233Z,2020-10-11T20:53:54.220Z,8.73715603351593
2020-10-11T20:54:07.591Z,"iPhone12,3",14.0.0,original,receiver,10489138.0,15000,1,,,,,,,,,,,,,,,,,,2020-10-11T20:54:20.468Z,2020-10-11T20:54:20.472Z,2020-10-11T20:54:21.418Z,13.093706011772156
